# AArch64 identification registers

MIDR_EL1,RO,Main ID Register
MPIDR_EL1,RO,Multiprocessor Affinity Register
REVIDR_EL1,RO,Revision ID Register
ID_PFR0_EL1,RO,AArch32 Processor Feature Register 0
ID_PFR1_EL1,RO,AArch32 Processor Feature Register 1
ID_DFR0_EL1,RO,AArch32 Debug Feature Register 0
ID_AFR0_EL1,RO,AArch32 Auxiliary Feature Register 0
ID_MMFR0_EL1,RO,AArch32 Memory Model Feature Register 0
ID_MMFR1_EL1,RO,AArch32 Memory Model Feature Register 1
ID_MMFR2_EL1,RO,AArch32 Memory Model Feature Register 2
ID_MMFR3_EL1,RO,AArch32 Memory Model Feature Register 3
ID_ISAR0_EL1,RO,AArch32 Instruction Set Attribute Register 0
ID_ISAR1_EL1,RO,AArch32 Instruction Set Attribute Register 1
ID_ISAR2_EL1,RO,AArch32 Instruction Set Attribute Register 2
ID_ISAR3_EL1,RO,AArch32 Instruction Set Attribute Register 3
ID_ISAR4_EL1,RO,AArch32 Instruction Set Attribute Register 4
ID_ISAR5_EL1,RO,AArch32 Instruction Set Attribute Register 5
ID_AA64PFR0_EL1,RO,AArch64 Processor Feature Register 0
ID_AA64PFR1_EL1,RO,AArch64 Processor Feature Register 1
ID_AA64DFR0_EL1,RO,AArch64 Debug Feature Register 0
ID_AA64DFR1_EL1,RO,AArch64 Debug Feature Register 1
ID_AA64AFR0_EL1,RO,AArch64 Auxiliary Feature Register 0
ID_AA64AFR1_EL1,RO,AArch64 Auxiliary Feature Register 1
ID_AA64ISAR0_EL1,RO,AArch64 Instruction Set Attribute Register 0
ID_AA64ISAR1_EL1,RO,AArch64 Instruction Set Attribute Register 1
ID_AA64MMFR0_EL1,RO,AArch64 Memory Model Feature Register 0
ID_AA64MMFR1_EL1,RO,AArch64 Memory Model Feature Register 1
CCSIDR_EL1,RO,Cache Size ID Register
CLIDR_EL1,RO,Cache Level ID Register
AIDR_EL1,RO,Auxiliary ID Register
CSSELR_EL1,RW,Cache Size Selection Register
CTR_EL0,RO,Cache Type Register
DCZID_EL0,RO,Data Cache Zero ID Register
VPIDR_EL2,RW,Virtualization Processor ID Register
VMPIDR_EL2,RO,Virtualization Multiprocessor ID Register

# AArch64 exception handling registers

AFSR0_EL1,RW,Auxiliary Fault Status Register 0
AFSR1_EL1,RW,Auxiliary Fault Status Register 1
ESR_EL1,RW,Exception Syndrome Register
IFSR32_EL2,RW,Instruction Fault Status Register
AFSR0_EL2,RW,Auxiliary Fault Status Register 0
AFSR1_EL2,RW,Auxiliary Fault Status Register 1
ESR_EL2,RW,Exception Syndrome Register
AFSR0_EL3,RW,Auxiliary Fault Status Register 0
AFSR1_EL3,RW,Auxiliary Fault Status Register 1
ESR_EL3,RW,Exception Syndrome Register
FAR_EL1,RW,Fault Address Register
FAR_EL2,RW,Fault Address Register
HPFAR_EL2,RW,Hypervisor IPA Fault Address Register
FAR_EL3,RW,Fault Address Register
VBAR_EL1,RW,Vector Base Address Register
ISR_EL1,RO,Interrupt Status Register
VBAR_EL2,RW,Vector Base Address Register
VBAR_EL3,RW,Vector Base Address Register

# AArch64 virtual memory control registers

SCTLR_EL1,RW,System Control Register
SCTLR_EL2,RW,System Control Register
SCTLR_EL3,RW,System Control Register
TTBR0_EL1,RW,Translation Table Base Register 0
TTBR1_EL1,RW,Translation Table Base Register 1
TCR_EL1,RW,Translation Control Register
TTBR0_EL2,RW,Translation Table Base Address Register 0
TCR_EL2,RW,Translation Control Register
VTTBR_EL2,RW,Virtualization Translation Table Base Address Register
VTCR_EL2,RW,Virtualization Translation Control Register
TTBR0_EL3,RW,Translation Table Base Register 0
TCR_EL3,RW,Translation Control Register
MAIR_EL1,RW,Memory Attribute Indirection Register
