MULTI, bit[31]
UUT, bit[8]
PF, bit[7]
EF, bit[6]
CAF, bit[5]
UCIF, bit[4]
UCBF, bit[3]
SMCF, bit[2]
USF, bit[1]
ICF, bit[0]
